name,country,province,population,latitude,longitude,elevation
Bonn,3065,Nordrhein-Westfalen,305765,50.73,7.1,60
Borås,3066,Västra Götaland,104867,57.72,12.94,143
Bordeaux,3067,Nouvelle-Aquitaine,239399,44.84,-0.58,10
Borujerd,3068,Lorestan,234997,33.9,48.9,1573
Boston,3069,Massachusetts,675647,42.36,-71.06,43
Botoşani,3070,Botoşani,106847,47.75,26.67,170
Bottrop,3071,Nordrhein-Westfalen,117311,51.52,6.92,55
Botucatu,3072,São Paulo,122678,-22.89,-48.44,804
Bouaké,3073,Vallée du Bandama,536719,7.68,-5.02,312
Boulogne-Billancourt,3074,Île-de-France,116220,48.84,2.24,28
Bournemouth,3075,South West England,200916,50.72,-1.88,NULL
Bozhou,3076,Anhui,750569,33.89,115.76,32
Brades,3077,Montserrat,449,16.8,-62.22,NULL
Bradford,3078,Yorkshire and the Humber,370185,53.79,-1.75,NULL
Braga,3079,Braga,148550,41.55,-8.43,200
Braganca,3080,Braganca,NULL,41.81,-6.76,674
Bragança Paulista,3081,São Paulo,142255,-22.95,-46.54,817
Brăila,3082,Brăila,180302,45.27,27.96,25
Brampton,3083,Ontario,523911,43.68,-79.77,218
Brasília,3084,Distrito Federal,2482210,-15.79,-47.88,1172
Braşov,3085,Braşov,253200,45.67,25.62,600
Bratislava,3086,Bratislavský,475503,48.14,17.11,134
Bratsk,3087,Irkutskaya,224071,56.12,101.6,450
Braunschweig,3088,Niedersachsen,242537,52.27,10.52,75
Brazzaville,3089,Brazzaville,1408150,-4.27,15.29,320
Brčko,3090,Brčko,93028,44.87,18.81,92
Breda,3091,Noord-Brabant,180263,51.58,4.78,3
Bregenz,3092,Vorarlberg,27831,47.51,9.75,427
Bremen,3093,Bremen,542707,53.08,8.8,11
Bremerhaven,3094,Bremen,108156,53.55,8.58,2
Bréscia,3095,Lombardia,189902,45.54,10.22,149
Brest,3096,Brest,309764,52.13,23.67,280.4
Brest,3097,Bretagne,140547,48.39,-4.49,10
Bridgeport,3098,Connecticut,148654,41.19,-73.2,1
Bridgetown,3099,Barbados,88529,13.11,-59.61,4
Brighton and Hove,3100,South East England,232503,50.83,-0.15,NULL
Brisbane,3101,Queensland,2495825,-27.47,153.03,NULL
Bristol,3102,South West England,586781,51.45,-2.58,11
Brno,3103,Jihomoravský,398510,49.2,16.62,237
Brovary,3104,Kyïvska,109473,50.51,30.82,NULL
Brownsville,3105,Texas,186738,25.93,-97.48,10
Brugge,3106,West-Vlaanderen,118656,51.22,3.23,2
Bruxelles,3107,Bruxelles,185103,50.85,4.35,13
Bryansk,3108,Bryanskaya,379152,53.23,34.37,190
Bucaramanga,3109,Santander,570752,7.13,-73,959
Bucheon,3110,South Korea,833148,37.5,126.78,16
Bucureşti,3111,Bucureşti,1883425,44.43,26.1,55.8
Budapest,3112,Budapest,1729040,47.49,19.05,102
Buea,3113,Sud-Ouest,90088,4.17,9.23,870
Buenaventura,3114,Valle de Cauca,235064,3.88,-77.03,2
Buenavista,3115,"México, Estado de",216776,19.61,-99.17,NULL
Buenos Aires,3116,Distrito Federal,2890151,-34.6,-58.38,25
Buffalo,3117,New York,278349,42.9,-78.85,183
Buffalo City,3118,Eastern Cape,755200,-32.98,27.87,135
Buftea,3119,Ilfov,NULL,44.57,25.95,NULL
Bujumbura,3120,Burundi,497166,-3.38,29.37,774
Buka,3121,Bougainville,NULL,-5.43,154.67,5
Bukavu,3122,Sud-Kivu,832000,-2.5,28.87,1498
Bukoba,3123,Kagera,128796,-1.33,31.82,NULL
Bulawayo,3124,Zimbabwe,665940,-20.17,28.58,1358
Bunia,3125,Ituri,366126,1.56,30.25,1277
Buon Ma Thuot,3126,Central Highlands,245951,12.67,108.05,536
Bur Said,3127,Egypt,760152,31.25,32.28,3
Buraydah,3128,Al-Qaseem,467410,26.33,43.97,NULL
Burdur,3129,Burdur,NULL,37.72,30.28,NULL
Burewala,3130,Punjab,231797,30.17,72.68,133
Burgas,3131,Bulgaria,198593,42.5,27.47,30
Burgos,3132,Castilla y León,174154,42.35,-3.71,859
Burlington,3133,Ontario,175779,43.32,-79.8,74
Burnaby,3134,British Columbia,223218,49.27,-122.97,30
Bursa,3135,Bursa,2024480,40.18,29.05,100
Busan,3136,South Korea,3349016,35.17,129.07,NULL
Bushehr,3137,Bushehr,223504,28.97,50.83,8
Buta,3138,Bas-Uele,NULL,2.8,24.74,405
Butembo,3139,Nord-Kivu,217625,0.13,29.29,1381
Butuan,3140,Caraga,202641,8.95,125.53,1
Buxoro,3141,Buxoro,280187,39.77,64.43,225
Buzău,3142,Buzău,115494,45.17,26.82,95
Bydgoszcz,3143,Kujawsko-Pomorskie,337666,53.12,18,60
Bytom,3144,Śląskie,153274,50.38,18.9,249
Cabanatuan,3145,Central Luzon,289172,15.48,120.97,NULL
Cabimas,3146,Zulia,207996,10.4,-71.45,3
Cabinda,3147,Cabinda,598210,-5.56,12.19,24
Cabo de Santo Agostinho,3148,Pernambuco,167783,-8.29,-35.03,29
Cabo Frio,3149,Rio de Janeiro,140486,-22.88,-42.02,4
Cabo San Lucas,3150,Baja California Sur,202694,22.88,-109.92,10
Cabuyao,3151,Calabarzon,308745,14.28,121.12,NULL
Cachoeiro de Itapemirim,3152,Espírito Santo,173589,-20.85,-41.11,22
Cádiz,3153,Andalucía,114442,36.53,-6.28,11
Caen,3154,Normandie,108793,49.18,-0.37,5
Cagayan De Oro,3155,Northern Mindanao,675950,8.48,124.65,10
Cágliari,3156,Sardegna,149883,39.25,9.05,4
Cainta,3157,Calabarzon,322128,14.57,121.12,NULL
Cairns,3158,Queensland,155529,-16.93,145.78,NULL
Cajamarca,3159,Cajamarca,210586,-7.16,-78.51,2750
Calabar,3160,Cross River,475000,4.95,8.32,32
Calais,3161,Hauts-de-France,75293,50.95,1.85,6
Calama,3162,Antofagasta,158487,-22.47,-68.93,2260
Calamba,3163,Calabarzon,454486,14.22,121.17,NULL
Calapan,3164,Mimaropa,133893,13.36,121.2,NULL
Calarasi,3165,Călăraşi,NULL,44.2,27.33,26
Calgary,3166,Alberta,1237656,51.05,-114.07,1045
Cali,3167,Valle de Cauca,2172527,3.42,-76.52,1018
Callao,3168,Callao,438326,-12.03,-77.13,5
Cam Pha,3169,Northern Midlands and Mountains,182137,21.02,107.32,70
Camaçari,3170,Bahia,231973,-12.7,-38.32,36
Camagüey,3171,Camagüey,300958,21.38,-77.91,95
Camaragibe,3172,Pernambuco,144466,-8.02,-34.98,55
Cambridge,3173,East of England,167007,52.21,0.12,6
Cambridge,3174,Massachusetts,118403,42.36,-71.1,12
Camden,3175,New Jersey,71791,39.94,-75.11,5
Campeche,3176,Campeche,249623,19.85,-90.53,10
Campina Grande,3177,Paraíba,367209,-7.23,-35.88,560
Campinas,3178,São Paulo,1061540,-22.9,-47.06,555
Campo Grande,3179,Mato Grosso do Sul,776242,-20.46,-54.61,592
Campobasso,3180,Molise,48747,41.57,14.67,701
Campos dos Goytacazes,3181,Rio de Janeiro,418725,-21.75,-41.32,14
Can Tho,3182,Mekong River Delta,812088,10.03,105.78,0.5
Canakkale,3183,Çanakkale,143622,40.16,26.41,NULL
Canberra,3184,Australia Capital Territory,431611,-35.31,149.12,577
Cancún,3185,Quintana Roo,888797,21.16,-86.85,10
Cangzhou,3186,Hebei,759403,38.3,116.83,13
Cankiri,3187,Çankırı,NULL,40.6,33.62,800
Canoas,3188,Rio Grande do Sul,323827,-29.92,-51.18,8
Cap-Haïtien,3189,Haiti,155505,19.76,-72.2,1
Cape Coast,3190,Central,169894,5.1,-1.25,5
Cape Coral,3191,Florida,194016,26.64,-81.98,2
Cape Town,3192,Western Cape,3740026,-33.93,18.42,30
Caracas,3193,Distrito Federal,1975786,10.5,-66.92,900
Carapicuíba,3194,São Paulo,369584,-23.52,-46.84,NULL
Cardiff,3195,Wales,349780,51.48,-3.18,NULL
Cariacica,3196,Espírito Santo,337643,-20.26,-40.42,NULL
Carolina,3197,Puerto Rico,138304,18.41,-65.97,16
Carrefour,3198,Haiti,430250,18.53,-72.4,39
Carson City,3199,Nevada,58639,39.16,-119.75,1464
Cartagena,3200,Bolívar,876885,10.4,-75.5,2
Cartagena,3201,Murcia,215826,37.6,-0.98,10
Cartago,3202,Valle de Cauca,131641,4.7,-75.92,917
Cartago,3203,Cartago,147898,9.87,-83.92,1435
Caruaru,3204,Pernambuco,279589,-8.28,-35.98,545
Casablanca,3205,Grand Casablanca,3359818,33.53,-7.58,10
Cascavel,3206,Paraná,270049,-24.96,-53.46,781
Castanhal,3207,Pará,153378,-1.3,-47.92,141
Castellón de la Plana,3208,Valenciana,172637,39.98,-0.03,30
Castelo Branco,3209,Castelo Branco,NULL,39.82,-7.5,NULL
Castries,3210,Saint Lucia,3661,14.02,-60.98,2
Catanduva,3211,São Paulo,111914,-21.14,-48.97,503
Catánia,3212,Sicilia,293902,37.5,15.09,7
Catanzaro,3213,Calabria,89364,38.9,16.6,342
Catia La Mar,3214,Vargas,118466,10.6,-67.03,NULL
Caucaia,3215,Ceará,290220,-3.73,-38.66,29
Caxias,3216,Maranhão,118534,-4.86,-43.36,NULL
Caxias do Sul,3217,Rio Grande do Sul,419406,-29.17,-51.18,817
Caxito,3218,Bengo,217929,-8.58,13.66,84
Cayenne,3219,French Guiana,57229,4.93333,-52.45,NULL
Cebu,3220,Central Visayas,922611,10.32,123.75,NULL
Cedar Rapids,3221,Iowa,137710,41.98,-91.67,247
Celaya,3222,Guanajuato,378143,20.52,-100.81,1767
Cerkasy,3223,Cerkaska,272651,49.44,32.06,110
Čerkessk,3224,Karachayevo-Cherkesskaya,113226,44.22,42.05,530
Çerkezköy,3225,Tekirdağ,137583,41.28,28,NULL
Cernihiv,3226,Cernihivska,285234,51.5,31.3,136
Cernivci,3227,Cernivecka,265471,48.3,25.93,248
Cerro de Pasco,3228,Pasco,NULL,-10.69,-76.26,4330
České Budějovice,3229,Jihočeský,95664,48.97,14.47,381
Ceuta,3230,Ceuta,84071,35.9,-5.3,NULL
Ceyhan,3231,Adana,116372,37,35.82,NULL
Chachapoyas,3232,Amazonas,NULL,-6.22,-77.85,2335
Chalkida,3233,Stereas Elladas,102223,38.47,23.6,5
Chandigarh,3234,Chandigarh,510565,30.75,76.78,350
Chandler,3235,Arizona,275987,33.3,-111.83,370
Changchun,3236,Jilin,4557356,43.9,125.2,222
Changde,3237,Hunan,1100719,29.03,111.68,35
Changhua,3238,Taiwan,236636,24.07,120.53,20
Changsha,3239,Hunan,5630256,28.2,112.97,63
Changshu,3240,Jiangsu,1230599,31.67,120.82,NULL
Changuinola,3241,Bocas del Toro,98310,9.43,-82.52,NULL
Changwon,3242,South Korea,1029389,35.27,128.66,2
Changzhi,3243,Shanxi,1047461,36.18,113.1,NULL
Changzhou,3244,Jiangsu,3187315,31.78,119.97,NULL
Chania,3245,Kritis,108642,35.52,24.02,20
Chaozhou,3246,Guangdong,1254007,23.67,116.63,10
Chapecó,3247,Santa Catarina,168113,-27.1,-52.62,NULL
Charkiv,3248,Charkivska,1433886,50,36.23,152
Charleroi,3249,Hainaut,202746,50.4,4.43,NULL
Charleston,3250,South Carolina,150227,32.78,-79.93,4
Charleston,3251,West Virginia,51400,38.35,-81.63,182
Charlotte,3252,North Carolina,874579,35.23,-80.84,229
Charlotte Amalie,3253,Virgin Islands,8194,18.3,-64.9,NULL
Charlottetown,3254,Prince Edward Island,34562,46.23,-63.15,10
Chasavjurt,3255,Dagestan,155144,43.25,46.58,130
Chattanooga,3256,Tennessee,181099,35.05,-85.27,206
Cheboksary,3257,Chuvashia,497807,56.15,47.23,150
Chelmsford,3258,East of England,120091,51.92,0.47,NULL
Cheltenham,3259,South West England,119587,51.88,-2.07,NULL
Chelyabinsk,3260,Chelyabinskaya,1189525,55.15,61.38,220
Chemnitz,3261,Sachsen,240253,50.83,12.92,298
Chengdu,3262,Sichuan,13568357,30.66,104.06,500
Chennai,3263,Tamil Nadu,4646732,13.08,80.27,6
Cheongju,3264,South Korea,855326,36.63,127.48,39
Cherepovets,3265,Vologodskaya,305185,59.2,37.9,130
Cherson,3266,Chersonska,283649,46.63,32.58,43
Chesapeake,3267,Virginia,249422,36.71,-76.24,9
Chetumal,3268,Quintana Roo,169028,18.5,-88.31,10
Cheyenne,3269,Wyoming,65132,41.15,-104.8,1848
Chiang Mai,3270,Thailand,336007,18.8,99,323
Chiayi,3271,Taiwan,271220,23.48,120.45,69
Chiba,3272,Chiba,971882,35.6,140.1,2
Chicago,3273,Illinois,2746388,41.84,-87.68,181
Chichica,3274,Ngäbe Buglé,NULL,8.36,-81.67,NULL
Chiclayo,3275,Lambayeque,624246,-6.76,-79.84,27
Chifeng,3276,Nei Mongol,1093068,42.25,118.88,586
Chihuahua,3277,Chihuahua,925762,28.64,-106.09,1415
Chillan,3278,Ñuble,191983,-36.6,-72.1,124
Chilpancingo,3279,Guerrero,225728,17.55,-99.5,1253
Chimalhuacán,3280,"México, Estado de",703215,19.44,-98.95,2240
Chimbote,3281,Ancash,366160,-9.14,-78.59,4
Chimki,3282,Moskovskaya,257128,55.9,37.45,180
Chimoio,3283,Manica,363336,-19.12,33.48,664
Chinandega,3284,Nicaragua,133361,12.62,-87.15,50
Chincha Alta,3285,Ica,193450,-13.45,-76.13,97
Chingola,3286,Copperbelt,299936,-12.53,27.85,1363
Chiniot,3287,Punjab,278747,31.72,72.98,179
Chinsali,3288,Muchinga,NULL,-10.55,32.07,NULL
Chipata,3289,Eastern,NULL,-13.65,32.63,1140
Chirchiq,3290,Toshkent,157220,41.47,69.58,582
Chişinău,3291,Moldova,663400,47,28.92,85
Chita,3292,Zabaykalskiy,334427,52.05,113.47,650
Chitre,3293,Herrera,48479,7.97,-80.43,24
Chittagong,3294,Chittagong,3227246,22.37,91.8,NULL
Chitungwiza,3295,Zimbabwe,371244,-17.99,31.05,1448
Chmelnytskyi,3296,Chmelnytska,274582,49.42,27,275
Choloma,3297,Cortés,163818,15.63,-88,NULL
Choluteca,3298,Choluteca,86179,13.3,-87.18,NULL
Chon Buri,3299,Thailand,321149,13.36,100.98,NULL
Chongjin,3300,North Korea,667929,41.78,129.77,NULL
Chongqing,3301,Chongqing,9580770,29.56,106.57,237
Chorzów,3302,Śląskie,104193,50.3,18.95,352
Christchurch,3303,New Zealand,372500,-43.53,172.62,100
Chula Vista,3304,California,275487,32.63,-117.05,20
Chuncheon,3305,South Korea,284645,37.87,127.73,NULL
Chur,3306,Graubünden,NULL,46.85,9.53,593
Ciego de Ávila,3307,Ciego de Ávila,114829,21.85,-78.76,55
Ciénaga,3308,Magdalena,104999,11.01,-74.25,10
Cienfuegos,3309,Cienfuegos,147110,22.15,-80.44,25
Cilegon,3310,Banten,374559,-6,106,NULL
Cimahi,3311,Jawa Barat,541177,-6.88,107.53,768
Cincinnati,3312,Ohio,309317,39.14,-84.5,147
Cirebon,3313,Jawa Barat,296389,-6.72,108.57,NULL
Cité Soleil,3314,Haiti,241055,18.58,-72.33,NULL
Ciudad Bolívar,3315,Bolívar,307713,8.12,-63.55,54
Ciudad de Guatemala,3316,Guatemala,923392,14.61,-90.54,1500
Ciudad de México,3317,Distrito Federal,8843706,19.43,-99.13,2250
Ciudad del Este,3318,Paraguay,304300,-25.52,-54.62,34
Ciudad Delgado,3319,El Salvador,129965,13.72,-89.17,603
Ciudad Guayana,3320,Bolívar,692215,8.37,-62.65,13
Ciudad Juárez,3321,Chihuahua,1501551,31.74,-106.49,1137
Ciudad López Mateos,3322,"México, Estado de",523065,19.56,-99.25,2280
Ciudad Madero,3323,Tamaulipas,205933,22.25,-97.83,NULL
Ciudad Obregón,3324,Sonora,329404,27.49,-109.93,40
Ciudad Santa Catarina,3325,Nuevo Léon,268347,25.68,-100.45,680
Ciudad Victoria,3326,Tamaulipas,332100,23.73,-99.13,316
Cixi,3327,Zhejiang,1457510,30.17,121.23,NULL
Cizre,3328,Şırnak,130190,37.25,42.2,377
Clarksville,3329,Tennessee,166722,36.53,-87.31,145
Clearwater,3330,Florida,117292,27.97,-82.76,9
Clermont-Ferrand,3331,Auvergne-Rhône-Alpes,140957,45.78,3.08,321
Cleveland,3332,Ohio,372624,41.48,-81.67,199
Cluj-Napoca,3333,Cluj,324576,46.77,23.58,340
Coatzacoalcos,3334,Veracruz,212540,18.15,-94.43,10
Cobán,3335,Guatemala,212047,15.48,-90.37,1320
Cobija,3336,Pando,NULL,-11.03,-68.73,280
Cochabamba,3337,Cochabamba,630587,-17.38,-66.17,2558
Codo,3338,Maranhão,118072,-4.46,-43.89,47
Coimbatore,3339,Tamil Nadu,1050721,11.02,76.97,411.2
Coimbra,3340,Coimbra,105190,40.21,-8.43,34
Colatina,3341,Espírito Santo,98395,-19.54,-40.63,71
Colchester,3342,East of England,138753,51.89,0.9,NULL
Colima,3343,Colima,146965,19.24,-103.72,305
Colombo,3344,Paraná,203203,-25.29,-49.22,950
Colombo,3345,Sri Lanka,561314,6.93,79.84,1
Colón,3346,Colón,206553,9.36,-79.9,9
Colorado Springs,3347,Colorado,478961,38.87,-104.76,1840
Columbia,3348,South Carolina,136632,34.03,-80.9,89
Columbus,3349,Georgia,206922,32.49,-84.94,74
Columbus,3350,Ohio,905748,39.98,-82.98,275
Comayagua,3351,Comayagua,92833,14.46,-87.65,594
Comilla,3352,Chittagong,339133,23.45,91.2,NULL
Comodoro Rivadavia,3353,Chubut,175196,-45.86,-67.48,61
Conakry,3354,Guinea,1667864,9.52,-13.7,NULL
Concepción,3355,Bío-Bío,722929,-36.83,-73.05,12
Concord,3356,California,125410,37.98,-122.03,23
Concord,3357,New Hampshire,43976,43.21,-71.54,88
Concordia,3358,Entre Ríos,149450,-31.4,-58.03,21
Constanţa,3359,Constanţa,283872,44.17,28.64,25
Constantine,3360,Algeria,448028,36.35,6.6,694
Contagem,3361,Minas Gerais,601400,-19.93,-44.05,858
Copenhagen,3362,Hovedstaden,580184,55.6833,12.55,24
Copiapó,3363,Atacama,150962,-27.37,-70.33,391
Coral Springs,3364,Florida,134394,26.27,-80.26,4
Córdoba,3365,Andalucía,322327,37.88,-4.77,120
Córdoba,3366,Veracruz,139075,18.89,-96.93,860
Córdoba,3367,Córdoba,1317298,-31.42,-64.18,390
Cork,3368,Munster,130119,51.9,-8.47,9
Çorlu,3369,Tekirdağ,302395,41.15,27.8,10
Corona,3370,California,157136,33.87,-117.57,207
Corpus Christi,3371,Texas,317863,27.74,-97.4,2
Corrientes,3372,Corrientes,346334,-27.48,-58.82,52
Corum,3373,Çorum,267394,40.55,34.95,801
Cosenza,3374,Calabria,69484,39.3,16.25,238
Costa Mesa,3375,California,111918,33.67,-117.91,30
Cotabato,3376,Muslim Mindanao,299438,7.22,124.25,NULL
Cotia,3377,São Paulo,201150,-23.6,-46.92,853
Cotonou,3378,Benin,679012,6.37,2.43,51
Cottbus,3379,Brandenburg,99984,51.76,14.33,75
Coventry,3380,West Midlands,355703,52.41,-1.51,NULL
Coyhaique,3381,Aysén,NULL,-45.57,-72.07,302
Craiova,3382,Dolj,269506,44.33,23.82,100
Crawley,3383,South East England,116880,51.11,-0.19,NULL
Criciúma,3384,Santa Catarina,189630,-28.68,-49.37,46
Cuautitlán Izcalli,3385,"México, Estado de",515353,19.65,-99.21,2280
Cuautla Morelos,3386,Morelos,157336,18.81,-99.96,1294
Cúcuta,3387,Norte de Santander,865445,7.89,-72.5,320
Cuenca,3388,Ecuador,331888,-2.9,-79.02,2560
Cuernavaca,3389,Morelos,341029,18.92,-99.23,1510
Cuiabá,3390,Mato Grosso,540814,-15.6,-56.1,165
Cuito,3391,Bié,424169,-12.52,17.57,NULL
Culiacán,3392,Sinaloa,808416,24.8,-107.39,54
Cumaná,3393,Sucre,208114,10.46,-64.17,43
Curitiba,3394,Paraná,1751907,-25.42,-49.25,934.6
Cusco,3395,Cusco,457398,-13.52,-71.97,3399
Cuttack,3396,Odisha,403418,20.52,85.79,36
Częstochowa,3397,Śląskie,213107,50.8,19.12,NULL
Da Nang,3398,North and South Central Coast,988561,16.07,108.23,NULL
Dabou,3399,Lagunes,NULL,5.3,-4.4,NULL
Dąbrowa Górnicza,3400,Śląskie,116930,50.32,19.27,NULL
Daegu,3401,South Korea,2410700,35.87,128.6,NULL
Daejeon,3402,South Korea,1488435,36.35,127.39,NULL
Dakar,3403,Dakar,2646503,14.69,-17.45,10
Dalian,3404,Liaoning,4913879,38.92,121.64,29
Dallas,3405,Texas,1304379,32.78,-96.8,131
Daloa,3406,Sassandra-Marahoué,266324,6.88,-6.45,299
Daman,3407,Daman and Diu,NULL,20.42,72.85,5
Damanhur,3408,Egypt,278413,31.04,30.47,18
Damaturu,3409,Yobe,141897,11.74,11.96,NULL
Dambai,3410,Oti,NULL,8.07,0.18,111
Damongo,3411,Savannah,NULL,9.08,-1.82,217
Dandong,3412,Liaoning,748983,40.12,124.38,8
Danlí,3413,El Paraíso,64976,14.05,-86.58,814
Daqing,3414,Heilongjiang,1604027,46.58,125,149
Dar es Salaam,3415,Dar es Salaam,4364541,-6.8,39.28,12
Daraa,3416,Daraa,146481,32.62,36.1,435
Darmstadt,3417,Hessen,143499,49.87,8.65,144
Darwin,3418,Northern Territory,132921,-12.45,130.83,NULL
Dashhowuz,3419,Dashhowuz,141800,41.83,59.97,88
Dasmarinas,3420,Calabarzon,659019,14.33,120.94,NULL
Datong,3421,Shanxi,1809505,40.08,113.3,1042
Davao,3422,Davao,1325168,7.07,125.6,22.3
David,3423,Chiriquí,144858,8.43,-82.43,-6
Dayr az Zawr,3424,Dayr az Zawr,239196,35.33,40.15,210
Dayton,3425,Ohio,137644,39.76,-84.19,225
Debrecen,3426,Hajdú-Bihar,211320,47.53,21.64,121
Dehra Dun,3427,Uttarakhand,NULL,30.32,78.03,435
Delemont,3428,Jura,NULL,47.37,7.35,435
Delhi,3429,Delhi,11034555,28.61,77.23,200
Delmas,3430,Haiti,359451,18.55,-72.3,194
Den Haag,3431,Zuid-Holland,509623,52.08,4.32,1
Denizli,3432,Denizli,643007,37.77,29.08,324
Denpasar,3433,Bali,788589,-8.65,115.22,4
Denver,3434,Colorado,715522,39.76,-104.88,1564
Depok,3435,Jawa Barat,1738570,-6.39,106.83,50
Dera Ghazi Khan,3436,Punjab,399064,30.05,70.63,NULL
Derbent,3437,Dagestan,124953,42.05,48.3,-20
Derby,3438,East Midlands,269053,52.92,-1.48,NULL
Derince,3439,Kocaeli,141320,40.77,29.82,NULL
Des Moines,3440,Iowa,214113,41.59,-93.62,291
Dese,3441,Amhara,270400,11.13,39.63,2470
Detroit,3442,Michigan,639111,42.33,-83.05,183
Deva,3443,Hunedoara,NULL,45.88,22.91,187
Dezful,3444,Khuzestan,264709,32.38,48.4,150
Dezhou,3445,Shandong,843372,37.43,116.27,NULL
Dhaka,3446,Dhaka,10278882,23.7,90.37,4
Diadema,3447,São Paulo,386089,-23.69,-46.61,780
Diffa,3448,Diffa,NULL,13.31,12.62,286
Dijon,3449,Bourgogne-Franche-Comté,151672,47.29,5.04,220
Dili,3450,Timor-Leste,244584,-8.6,125.6,NULL
Dimashq,3451,Dimashq,1552161,33.51,36.29,680
Dimbokro,3452,Lacs,NULL,6.65,-4.7,NULL
Dimitrovgrad,3453,Ulyanovskaya,110968,54.18,49.58,60
Diourbel,3454,Diourbel,133705,14.66,-16.39,12
Dire Dawa,3455,Dire Dawa,343000,9.6,41.87,1276
Dispur,3456,Assam,NULL,26.14,91.79,55
Divinópolis,3457,Minas Gerais,207516,-20.14,-44.88,712
Diwaniyah,3458,al-Qadisiya,403796,32,45,25
Diyarbakir,3459,Diyarbakır,1069578,37.91,40.24,675
Djambala,3460,Plateaux,NULL,-2.54,14.75,622
Djibouti,3461,Djibouti,475322,11.6,43.17,NULL
Dnipro,3462,Dnipropetrovska,980948,48.45,34.98,155
Dodoma,3463,Dodoma,410956,-6.17,35.74,1120
Doha,3464,Qatar,872048,25.29,51.53,7
Dolgoprudny,3465,Moskovskaya,120907,55.93,37.5,180
Dolisie,3466,Niari,128032,-4.2,12.67,290
Domodedovo,3467,Moskovskaya,152404,55.43,37.75,160
Doncaster,3468,Yorkshire and the Humber,113566,53.52,-1.13,NULL
Donetsk,3469,Donetska,905364,48,37.81,169
Dongguan,3470,Guangdong,9644871,23.03,113.72,8
Dongying,3471,Shandong,961300,37.45,118.47,NULL
Donostia,3472,Euskadi,187892,43.32,-1.99,6
Dordrecht,3473,Zuid-Holland,118780,51.82,4.67,1
Dornbirn,3474,Vorarlberg,45922,47.41,9.74,437
Dortmund,3475,Nordrhein-Westfalen,571143,51.52,7.47,86
Dos Hermanas,3476,Andalucía,136296,37.28,-5.92,42
Dosquebradas,3477,Risaralda,204280,4.83,-75.68,1460
Dosso,3478,Dosso,NULL,13.04,3.19,227
Douala,3479,Littoral,2768400,4.05,9.68,13
Douglas,3480,Isle of Man,26677,54.15,-4.6,NULL
Dourados,3481,Mato Grosso do Sul,181005,-22.22,-54.81,430
Dover,3482,Delaware,39403,39.16,-75.53,11
Drammen,3483,Buskerud,65473,59.74,10.21,5
Dresden,3484,Sachsen,512354,51.03,13.73,112
Drobeta-Turnu Severin,3485,Mehedinţi,92617,44.57,22.67,50
Dubai,3486,United Arab Emirates,2401067,24.95,55.33,NULL
Dublin,3487,Leinster,588233,53.35,-6.26,20
Duhouk,3488,Duhouk,340871,36.87,43,565
Duisburg,3489,Nordrhein-Westfalen,488468,51.44,6.76,33
Duma,3490,Rif Dimashq,181934,33.57,36.4,428
Dumai,3491,Riau,253803,1.67,101.45,NULL
Dumyat,3492,Egypt,289833,31.42,31.82,5
Dundee,3493,Scotland,146840,56.46,-2.97,NULL
Dunedin,3494,New Zealand,105000,-45.87,170.5,NULL
Dunqulā,3495,Ash-Shamālīyah,NULL,19.17,30.45,NULL
Duque de Caxias,3496,Rio de Janeiro,852138,-22.79,-43.31,7
Durango,3497,Durango,616068,24.02,-104.67,1880
Durgapur,3498,West Bengal,425836,23.55,87.32,65
Durham,3499,North Carolina,283506,35.99,-78.91,123
Durrës,3500,Albania,113249,41.32,19.45,40
Dushanbe,3501,Dushanbe,863400,38.54,68.78,706
Düsseldorf,3502,Nordrhein-Westfalen,586291,51.23,6.78,38
Dutse,3503,Jigawa,NULL,11.7,9.34,NULL
Düzce,3504,Düzce,188928,40.84,31.16,NULL
Dzeržinsk,3505,Nizhnii Novgorodskaya,218630,56.23,43.45,90
Eastbourne,3506,South East England,113127,50.77,0.28,NULL
Ebolowa,3507,Sud,NULL,2.92,11.15,636
Ecatepec,3508,"México, Estado de",1643623,19.61,-99.06,2250
Ech Chelif,3509,Algeria,155134,36.2,1.3,114
Ede,3510,Osun,142363,7.74,4.44,269
Edinburgh,3511,Scotland,505310,55.95,-3.19,47
Edirne,3512,Edirne,174662,41.68,26.56,42
Edmonton,3513,Alberta,932546,53.53,-113.5,645
Effon-Alaiye,3514,Ekiti,158977,7.68,4.82,NULL
Eger,3515,Heves,56569,47.9,20.37,165
Eindhoven,3516,Noord-Brabant,221279,51.43,5.48,17
Eisenstadt,3517,Burgenland,13101,47.85,16.52,182
Ekibastuz,3518,Pavlodar,130903,51.67,75.37,347
Ekurhuleni - Germiston,3519,Gauteng,3178471,-26.17,28.33,NULL
El Aaiun,3520,Western Sahara,183691,27.15,-13.2,NULL
El Alto,3521,La Paz,848840,-16.52,-68.17,4150
El Djelfa,3522,Algeria,265833,34.67,3.25,NULL
El Monte,3523,California,109450,34.07,-118.03,91
El Paso,3524,Texas,678815,31.79,-106.42,1140
El Porvenir,3525,Guna Yala,NULL,9.55,-78.97,NULL
El Progreso,3526,Yoro,114934,15.4,-87.8,NULL
Elazig,3527,Elazığ,381158,38.67,39.22,1067
Elbasan,3528,Albania,78703,41.1,20.07,150
Elbląg,3529,Warmińsko-Mazurskie,115220,54.17,19.4,10
