name,country,province,population,latitude,longitude,elevation
Albacete,2700,Castilla-La Mancha,172806,39,-1.86,686
Albany,2701,New York,99224,42.65,-73.76,60
Ålborg,2702,Nordjylland,110495,57.05,9.92,5
Albuquerque,2703,New Mexico,564559,35.11,-106.61,1620
Alcalá de Henares,2704,Madrid,195570,40.47,-3.37,588
Alchevsk,2705,Luhanska,106550,48.48,38.8,240
Alcobendas,2706,Madrid,116895,40.53,-3.63,700
Alcorcón,2707,Madrid,171575,40.35,-3.83,695
Aleg,2708,Brakna,NULL,17.05,-13.92,NULL
Alexandria,2709,Teleorman,NULL,43.97,25.33,41
Alexandria,2710,Virginia,159467,38.8,-77.05,12
Algeciras,2711,Andalucía,123435,36.13,-5.45,20
Algiers,2712,Algeria,2364230,36.77,3.22,100
Alicante,2713,Valenciana,336768,38.35,-0.48,5
Aligarh,2714,Uttar Pradesh,480520,27.88,78.08,178
Allahabad,2715,Uttar Pradesh,1112544,25.45,81.85,98
Allentown,2716,Pennsylvania,125845,40.6,-75.48,103
Almada,2717,Lisboa,95460,38.68,-9.16,50
Almaty,2718,Almaty City,1507737,43.28,76.9,500
Almere,2719,Flevoland,196244,52.37,5.22,-3
Almería,2720,Andalucía,200273,36.84,-2.47,27
Almetjevsk,2721,Tatarstan,163512,54.9,52.3,110
Alofi,2722,Niue,NULL,-19.05,-169.9,21
Alor Setar,2723,Kedah,405523,6.12,100.37,7
Altdorf,2724,Uri,NULL,46.87,8.63,458
Alvorada,2725,Rio Grande do Sul,195673,-29.99,-51.08,17
Amadora,2726,Lisboa,171454,38.73,-9.23,NULL
Amagasaki,2727,Hyogo,452563,34.73,135.4,NULL
Amarillo,2728,Texas,200393,35.2,-101.85,1099
Amasya,2729,Amasya,113373,40.65,35.83,40
Ambon,2730,Maluku,331254,-3.7,128.17,3
Americana,2731,São Paulo,209654,-22.74,-47.33,569
Amersfoort,2732,Utrecht,151270,52.15,5.38,3
Amiens,2733,Hauts-de-France,133327,49.89,2.3,14
Amman,2734,Jordan,4007526,31.95,35.93,784
Amol,2735,Mazandaran,237528,36.47,52.35,76
Amravati,2736,Maharashtra,421576,20.93,77.76,343
Amritsar,2737,Punjab,1132383,31.64,74.86,NULL
Amsterdam,2738,Noord-Holland,812895,52.37,4.9,2
An Najaf,2739,al-Najaf,747261,32,44.33,60
An Nasiriyah,2740,Thi Qar,558446,31.05,46.27,7
Anadyr,2741,Chukotka,13045,64.73,177.52,20
Anaheim,2742,California,346824,33.84,-117.89,48
Ananindeua,2743,Pará,470819,-1.37,-48.37,20
Anápolis,2744,Goiás,328755,-16.33,-48.95,1017
Anau,2745,Akhal,NULL,37.88,58.53,NULL
Anchorage,2746,Alaska,291247,61.22,-149.9,31
Ancona,2747,Marche,100497,43.62,13.52,16
Anderlecht,2748,Bruxelles,120887,50.83,4.33,NULL
Andijon,2749,Andijon,441700,40.78,72.33,450
Andorra la Vella,2750,Andorra,19659,42.5,1.5,1023
Andria,2751,Puglia,100052,41.22,16.3,151
Angarsk,2752,Irkutskaya,221296,52.55,103.9,430
Angeles,2753,Central Luzon,411634,15.15,120.58,NULL
Angers,2754,Pays de la Loire,148803,47.47,-0.55,12
Angra dos Reis,2755,Rio de Janeiro,163290,-23.01,-44.32,1378
Angren,2756,Toshkent,188360,41.02,70.14,961
Anju,2757,North Korea,240117,39.62,125.66,NULL
Ankara,2758,Ankara,5154602,39.93,32.87,938
Ann Arbor,2759,Michigan,123851,42.28,-83.75,256
Annaba,2760,Algeria,342703,36.9,7.77,20
Annapolis,2761,Maryland,40812,38.97,-76.5,12
Ansan,2762,South Korea,717345,37.32,126.83,139
Anshan,2763,Liaoning,1480332,41.12,122.98,2
Antalya,2764,Antalya,1296445,36.9,30.68,30
Antananarivo,2765,Madagascar,1274225,-18.93,47.52,1276
Antipolo,2766,Calabarzon,776386,14.58,121.17,156
Antofagasta,2767,Antofagasta,352638,-23.65,-70.4,40
Antsirabe,2768,Madagascar,246354,-19.87,47.03,1500
Antsiranana,2769,Madagascar,129320,-12.3,49.28,NULL
Antwerpen,2770,Antwerpen,529247,51.22,4.4,NULL
Anyang,2771,Henan,1187772,36.1,114.33,69
Anyang,2772,South Korea,542336,37.38,126.93,47
Aomori,2773,Aomori,287648,40.82,140.75,2
Aosta,2774,Valle d'Aosta,34102,45.73,7.32,583
Aparecida de Goiânia,2775,Goiás,455193,-16.82,-49.23,808
Apartadó,2776,Antioquia,98454,7.88,-76.63,30
Apeldoorn,2777,Gelderland,157540,52.22,5.97,16
Apia,2778,Samoa,36735,-13.83,-171.75,2
Apodaca,2779,Nuevo Léon,536436,26.77,-100.19,405
Apopa,2780,El Salvador,143718,13.8,-89.18,443
Appenzell,2781,Appenzell Innerrhoden,NULL,47.33,9.42,780
Apucarana,2782,Paraná,114098,-23.55,-51.46,840
Aqtobe,2783,Aktobe,377520,50.28,57.17,219
Ar Ramadi,2784,al-Anbar,223525,33.42,43.31,NULL
Ar Raqqah,2785,Ar Raqqah,343870,35.95,39.02,245
Aracaju,2786,Sergipe,571149,-10.92,-37.05,4
Araçatuba,2787,São Paulo,178077,-21.21,-50.43,390
Arad,2788,Arad,159074,46.17,21.32,117
Araguaína,2789,Tocantins,142925,-7.19,-48.21,227
Arak,2790,Markazi,520944,34.09,49.69,1718
Arapiraca,2791,Alagoas,181481,-9.75,-36.66,264
Arar,2792,Al-Hudud ash Shamaliyah,167057,30.98,41.02,536
Araraquara,2793,São Paulo,202730,-21.79,-48.18,664
Arauca,2794,Arauca,74195,7.09,-70.76,125
Arba Minch,2795,Southern,201000,6.03,37.55,1285
Arbil,2796,Arbil,879071,36.19,44.01,420
Ardahan,2797,Ardahan,NULL,41.11,42.7,1900
Ardebil,2798,Ardebil,529374,38.25,48.28,1351
Arendal,2799,Aust-Agder,12174,58.48,8.78,3
Arequipa,2800,Arequipa,1050849,-16.38,-71.53,2335
Argenteuil,2801,Île-de-France,104282,48.95,2.25,21
Århus,2802,Midtjylland,261570,56.15,10.22,5
Arica,2803,Arica y Parinacota,204078,-18.48,-70.33,2
Arkhangelsk,2804,Arkhangelskaya,301199,64.53,40.53,5
Arlington,2805,Texas,394266,32.71,-97.12,184
Arlington,2806,Virginia,238643,38.88,-77.11,7
Arlon,2807,Luxembourg,30081,49.68,5.82,NULL
Armavir,2808,Krasnodarskiy,187177,45,41.12,190
Armenia,2809,Quindío,287245,4.53,-75.68,1551
Arnhem,2810,Gelderland,150989,51.98,5.92,13
Arraiján,2811,Panamá Oeste,96676,8.48,-79.95,NULL
Artemisa,2812,Artemisa,NULL,22.81,-82.76,50
Artvin,2813,Artvin,NULL,41.18,41.82,345
Arusha,2814,Arusha,416442,-3.37,36.68,1387
Arzamas,2815,Nizhnii Novgorodskaya,104908,55.4,43.82,150
As Samawah,2816,al-Muthanna,221743,31.32,45.28,9
As Seeb,2817,Oman,470878,23.68,58.18,NULL
As Sulaymaniyah,2818,As Sulaymaniyah,676492,35.56,45.44,882
As Suwayda,2819,As Suwayda,147146,32.7,36.57,1080
As Suways,2820,Egypt,740874,29.97,32.55,5
